command             , description                                                                          , gitEquivalent
g --help            , prints command info                                                                  , "git, git --help"
g                   , prints git status                                                                    , git status
g [message]         , "automatically add all, commit with message (create git stash checkpoint?)"          , git add --all && git commit -m 'message'
g p                 , push to corresponding remote dev branch (nobody has a local copy of master or stable), git push
g pl                , pulls latest changes from remote                                                     , git pull
g mm                , "merges remote dev into the remote master branch (again, no local copies of master)" , git checkout -b temp origin/HEAD && git merge origin/dev && git push origin HEAD:master && git checkout dev && git branch -D temp
g repo  [name]      , initializes a git and github/gitlab repo with very reasonable defaults               , 
g undo              , ctrl + z                                                                             , 
g cl [url.git]      , git clones a repo                                                                    , git clone --depth 1 --recurse-submodules [url.git] repo && cd repo
g sm [url.git] [dir], add a git submodule                                                                  , git submodule add --depth 1 [url.git] [path]
